FID,STATION_NA,DIVISION_H,STN_CODE,ADDRESS,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY
496,AGLISH,WATERFORD,3375H,"Ballinaparka, Aglish,Cappoquin",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Aglish.html,212253,91029,612200,591087,-7.822039,52.07159,0,024,96122,Sub-District
497,ARDMORE,WATERFORD,4206D,"College Road, Ardmore",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Ardmore.html,218737,77633,618683,577694,-7.728211,51.95102,0,024,94222,Sub-District
498,BALLYMACARBERY,WATERFORD,3374L,"Curtiswood, Ballymacarbry",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballymacarberry.html,219322,112821,619268,612874,-7.717707,52.267228,0,052,36100,Sub-District
499,CAPPOQUIN,WATERFORD,3371E,"Barrack St, Cappoquin",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Cappoquin.html,210611,99293,610559,599349,-7.845723,52.145886,0,058,54244,Sub-District
500,DUNGARVAN,WATERFORD,3370G,"Youghal Road, Dungarvan",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Dungarvan.html,225790,92872,625735,592930,-7.624475,52.087691,1,058,48600,District HQ
501,DUNMORE EAST,WATERFORD,3301D,"Post Office Lane, Dunmore East, Co. Waterford",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Dunmore-East.html,268990,100038,668926,600094,-6.99287,52.14839,0,051,383112,Sub-District
502,KILL,WATERFORD,3401M,"Killbarrymeaden, Kill",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Kill-Co-Waterford.html,245534,102988,645475,603043,-7.335097,52.177324,0,051,292211,Sub-District
503,KILMACTHOMAS,WATERFORD,3402K,"Main St, Kilmacthomas",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilmacthomas.html,239610,106150,639551,606204,-7.421334,52.206191,0,051,294124,Sub-District
504,KILMEADEN,WATERFORD,3403G,"Kilmeaden, Co.Waterford",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilmeaden.html,251615,110718,651554,610771,-7.245047,52.246247,0,051,384105,Sub-District
505,LEAMYBRIEN,WATERFORD,3406A,"Leamybrien, Co.Waterford",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Leamybrien.html,232780,101998,632723,602053,-7.521634,52.169328,0,051,291182,Sub-District
506,LISMORE,WATERFORD,3377D,"West Street, Lismore",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Lismore.html,204465,98258,604415,598314,-7.935513,52.136673,0,058,54222,Sub-District
507,PASSAGE EAST,WATERFORD,3303M,"Barrack St, Passage East, Co. Waterford",WATERFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Passage-East.html,270220,110160,670155,610214,-6.972809,52.23918,0,051,382211,Sub-District
